,PinnedMeanErrorX,PinnedMeanErrorZ,PinnedMeanErrorY,MoveReachErrorX,MoveReachErrorZ,MoveReachErrorY,MoveHeadErrorX,MoveHeadErrorY,MoveHeadErrorZ,ControllerErrorX,ControllerErrorZ,ControllerErrorY,PinnedSTEX,PinnedSTEZ,PinnedSTEY,MoveReachSTEX,MoveReachSTEZ,MoveReachSTEY,MoveHeadSTEX,MoveHeadSTEY,MoveHeadSTEZ,ControllerSTEX,ControllerSTEY,ControllerSTEZ
1,0.038751363,0.030008828,0.038013686,0.076389223,0.157284258,0.085266187,0.108055957,0.272808135,0.093763062,0.141304623,0.285886392,0.129168932,0.004914422,0.005102937,0.003874176,0.009756078,0.011596478,0.025267837,0.01403732,0.012157734,0.035943005,0.01827102,0.018295282,0.034701847
2,0.046583743,0.035489778,0.044789356,0.089813947,0.443316479,0.101836786,0.189783841,1.74668693,0.178980794,0.668156209,1.306096013,0.527721118,0.006157369,0.005947801,0.004651951,0.012590448,0.015414821,0.066066868,0.025421206,0.023491284,0.197460088,0.083176074,0.068375501,0.152533702
3,0.019882143,0.024997464,0.018786206,0.081950807,0.357507198,0.096869649,0.164512717,0.637254929,0.1477898,0.24338206,0.590897082,0.273872691,0.002930474,0.002645475,0.003260056,0.012097634,0.013990019,0.05211392,0.021919923,0.018942221,0.07540954,0.033178936,0.038069902,0.072263963
