Gamma,pHorizontal,pUp,pDown,FitError
0.906897563,0.484955843,0.610930687,0.291180762,0.083626801
0.997014668,0.486333908,0.526715023,0.477562801,0.052595911
0.97958248,0.464338275,0.582245431,0.442407221,0.05726449
